id,from,subject,body,expected_priority
305,sender5@example.com,Wrong item delivered again,This is the second wrong order. I want a refund and am filing a complaint today.,HIGH
306,sender6@example.com,Contract renewal at risk,Contract expires in 3 days and client is not happy. If issues not resolved we lose $500k account.,HIGH
307,sender7@example.com,Employee data exposed,Internal spreadsheet with employee salaries shared publicly accidentally. HR and legal need to act.,HIGH
308,sender8@example.com,Cease and desist notice,You are hereby notified to stop using our trademarked content. Failure will result in legal action.,HIGH
309,sender9@example.com,Subscription charged but access denied,Charged $299 for annual plan but account still shows free tier. Cannot access premium features.,HIGH
310,sender10@example.com,Campaign launch failed,Marketing campaign launched with broken links and wrong images. We wasted $20000. Fix today.,HIGH
311,sender11@example.com,Audit findings require action,External audit flagged serious compliance issues. Regulators notified. Must respond within 24 hours.,HIGH
312,sender12@example.com,Harassment complaint filed,Formal harassment complaint filed against senior manager. Legal and HR must convene immediately.,HIGH
313,sender13@example.com,Account hacked need help,Someone took over my account and changed email and password. Making purchases with my card.,HIGH
314,sender14@example.com,Major shipment lost,Shipment worth $30000 gone missing in transit. Client furious and threatening to cancel all orders.,HIGH
315,sender15@example.com,Payroll processing failed,Payroll did not process correctly. 150 employees have not been paid. Fix before end of day.,HIGH
316,sender16@example.com,SLA breach notification,SLA breached for third consecutive month. Initiating penalty clauses and reviewing the partnership.,HIGH
317,sender17@example.com,You ruined my event,Your catering service cancelled last minute without notice. You ruined my wedding. I want full compensation.,HIGH
318,sender18@example.com,Still waiting after 3 weeks,Submitted support ticket 3 weeks ago and heard nothing. This level of service is shameful.,HIGH
319,sender19@example.com,Product damaged on arrival,Laptop arrived with cracked screen and dented casing. Clearly mishandled. I want replacement immediately.,HIGH
320,sender20@example.com,Project deadline missed again,Third deadline your team has missed. Our launch delayed and we are losing money. Escalate now.,HIGH
321,sender21@example.com,Unauthorized use of our brand,Discovered you are using our logo and brand name without permission. Remove it immediately.,HIGH
322,sender22@example.com,Ad campaign targeting wrong audience,Paid ad campaign running for a week targeting completely wrong demographic. Wasted $15000.,HIGH
323,sender23@example.com,Fraudulent transactions on account,Five transactions on my account I did not make totaling $1200. Reverse them and block my card.,HIGH
324,sender24@example.com,No heat in building for 4 days,Winter and no heating for 4 days. Residents include elderly people and children. Fix today.,HIGH
325,sender25@example.com,Wrongful termination notice,Received termination letter despite clean record and no prior warnings. Consulting a lawyer.,HIGH
326,sender26@example.com,Price increase notice,Due to rising costs we are increasing prices by 12% starting next month. Please be advised.,HIGH
327,sender27@example.com,Deliverable quality not acceptable,Report submitted last week does not meet agreed standards. We need revised version by Friday.,HIGH
328,sender28@example.com,API breaking changes without notice,Latest API update broke our entire integration without any prior notice. Lost full day of work.,HIGH
329,sender29@example.com,Internet down for 5 days,Business internet down for 5 days. Lost thousands in revenue. Want compensation and a fix today.,HIGH
330,sender30@example.com,Account banned without reason,Account banned without explanation or warning. Done nothing wrong. Demand review and reinstatement.,HIGH
331,sender31@example.com,Completely wrong design delivered,Designs delivered look nothing like the brief we provided. Want full redo immediately.,HIGH
332,sender32@example.com,Discrimination complaint,Formally reporting discriminatory behavior from direct manager. Have documented evidence. Act now.,HIGH
333,sender33@example.com,Package lost for 3 weeks,Order stuck in transit for 3 weeks with no updates. Paid $150 and received nothing. Refund me.,HIGH
334,sender34@example.com,Investor pulling out last minute,Lead investor reconsidering the term sheet. Need emergency board call today.,HIGH
335,sender35@example.com,Wrong cargo loaded on flight,Customs inspection revealed wrong cargo loaded on international flight. This is a legal violation.,HIGH
336,sender36@example.com,Missing crucial project files,All files from shared drive folder disappeared. A month of work is gone. Need them restored today.,HIGH
337,sender37@example.com,Business line down for 2 days,Business phone lines down for 2 days. Missing client calls and losing business every hour.,HIGH
338,sender38@example.com,Data sync failing silently,Data sync with your platform failing for 2 weeks without alerts. Data is out of sync.,HIGH
339,sender39@example.com,Cannot cancel subscription,Tried to cancel subscription 4 times through app and website but keep getting errors. Still charged.,HIGH
340,sender40@example.com,Critical bug in production release,Version you shipped has bug corrupting user data under specific conditions. Need hotfix now.,HIGH
341,sender41@example.com,Payslip shows incorrect deductions,Payslip this month shows deductions I was not informed about. Total significantly lower than expected.,HIGH
342,sender42@example.com,Locked out of account before trip,Traveling internationally tomorrow and locked out of bank account. Need access urgently.,HIGH
343,sender43@example.com,Deprecated endpoint causing failures,You deprecated endpoint without notice and our integration broke completely. Restore old endpoint.,HIGH
344,sender44@example.com,Supplier sent completely wrong stock,Received 500 units of wrong product. Shelves empty and customers complaining. Fix today.,HIGH
345,sender45@example.com,Term sheet has major legal issue,Lawyer found clause giving investors unexpected majority control. Call needed today.,HIGH
346,sender46@example.com,Service cancellation after 5 years,After 5 years as loyal customer I am cancelling due to repeated failures and no accountability.,HIGH
347,sender47@example.com,Vendor overcharged by 300 percent,Latest invoice is 3x higher than agreed contract rate. Refuse to pay until this is corrected.,HIGH
348,sender48@example.com,Employment contract violation,Company violated terms of my employment contract regarding overtime compensation. Seeking legal advice.,HIGH
349,sender49@example.com,Data retention policy violation,GDPR request to delete my data submitted 45 days ago. Legal deadline was 30 days. This is a violation.,HIGH
350,sender50@example.com,False advertising complaint,Your product does not do what your advertising claims. This constitutes false advertising. Taking action.,HIGH
351,sender51@example.com,Hostile work environment report,Formally reporting hostile work environment created by department head. Multiple witnesses available.,HIGH
352,sender52@example.com,Unauthorized credit card charges,Found 8 unauthorized charges on my card from your platform over past 3 months. Dispute all of them.,HIGH
353,sender53@example.com,Health and safety violation,Multiple health and safety violations observed at your facility. Reporting to relevant authorities.,HIGH
354,sender54@example.com,Breach of confidentiality agreement,Your employee shared confidential project details with a competitor. This is a serious breach.,HIGH
355,sender55@example.com,Product recall notification,Safety defect discovered in batch 2024-B. Potential injury risk. Issue recall notice immediately.,HIGH
356,sender56@example.com,Whistleblower complaint,Formally reporting financial irregularities observed in Q3 accounting. Have documentation ready.,HIGH
357,sender57@example.com,Insurance claim denied unfairly,Valid insurance claim denied without proper justification. Appealing decision and consulting lawyer.,HIGH
358,sender58@example.com,Regulatory non-compliance notice,Your facility found non-compliant during inspection. Must rectify violations within 72 hours.,HIGH
359,sender59@example.com,Acquisition deal falling through,Due diligence revealed undisclosed liabilities. Board meeting needed immediately to discuss options.,HIGH
360,sender60@example.com,Major client contract dispute,Client disputing deliverables and withholding final payment of $120000. Legal team needs to review.,HIGH
361,sender61@example.com,Data breach notification required,Discovered customer data breach 72 hours ago. GDPR requires notification within this window.,HIGH
362,sender62@example.com,I want my money back now,Your product destroyed my data. I have contacted a lawyer. Refund me immediately or face consequences.,HIGH
363,sender63@example.com,Invoice 60 days overdue,This is your final notice. Pay $8000 within 48 hours or we involve collections agency.,HIGH
364,sender64@example.com,Client threatening to leave,Our biggest client called me furious about the delays. They are cancelling the contract.,HIGH
365,sender65@example.com,Billing error charged twice,I was charged twice for my subscription this month. I want an immediate refund and explanation.,HIGH
366,sender66@example.com,Wrong item delivered again,This is the second wrong order. I want a refund and am filing a complaint today.,HIGH
367,sender67@example.com,Contract renewal at risk,Contract expires in 3 days and client is not happy. If issues not resolved we lose $500k account.,HIGH
368,sender68@example.com,Employee data exposed,Internal spreadsheet with employee salaries shared publicly accidentally. HR and legal need to act.,HIGH
369,sender69@example.com,Cease and desist notice,You are hereby notified to stop using our trademarked content. Failure will result in legal action.,HIGH
370,sender70@example.com,Subscription charged but access denied,Charged $299 for annual plan but account still shows free tier. Cannot access premium features.,HIGH
371,sender71@example.com,Campaign launch failed,Marketing campaign launched with broken links and wrong images. We wasted $20000. Fix today.,HIGH
372,sender72@example.com,Audit findings require action,External audit flagged serious compliance issues. Regulators notified. Must respond within 24 hours.,HIGH
373,sender73@example.com,Harassment complaint filed,Formal harassment complaint filed against senior manager. Legal and HR must convene immediately.,HIGH
374,sender74@example.com,Account hacked need help,Someone took over my account and changed email and password. Making purchases with my card.,HIGH
375,sender75@example.com,Major shipment lost,Shipment worth $30000 gone missing in transit. Client furious and threatening to cancel all orders.,HIGH
376,sender76@example.com,Payroll processing failed,Payroll did not process correctly. 150 employees have not been paid. Fix before end of day.,HIGH
377,sender77@example.com,SLA breach notification,SLA breached for third consecutive month. Initiating penalty clauses and reviewing the partnership.,HIGH
378,sender78@example.com,You ruined my event,Your catering service cancelled last minute without notice. You ruined my wedding. I want full compensation.,HIGH
379,sender79@example.com,Still waiting after 3 weeks,Submitted support ticket 3 weeks ago and heard nothing. This level of service is shameful.,HIGH
380,sender80@example.com,Product damaged on arrival,Laptop arrived with cracked screen and dented casing. Clearly mishandled. I want replacement immediately.,HIGH
381,sender81@example.com,Project deadline missed again,Third deadline your team has missed. Our launch delayed and we are losing money. Escalate now.,HIGH
382,sender82@example.com,Unauthorized use of our brand,Discovered you are using our logo and brand name without permission. Remove it immediately.,HIGH
383,sender83@example.com,Ad campaign targeting wrong audience,Paid ad campaign running for a week targeting completely wrong demographic. Wasted $15000.,HIGH
384,sender84@example.com,Fraudulent transactions on account,Five transactions on my account I did not make totaling $1200. Reverse them and block my card.,HIGH
385,sender85@example.com,No heat in building for 4 days,Winter and no heating for 4 days. Residents include elderly people and children. Fix today.,HIGH
386,sender86@example.com,Wrongful termination notice,Received termination letter despite clean record and no prior warnings. Consulting a lawyer.,HIGH
387,sender87@example.com,Price increase notice,Due to rising costs we are increasing prices by 12% starting next month. Please be advised.,HIGH
388,sender88@example.com,Deliverable quality not acceptable,Report submitted last week does not meet agreed standards. We need revised version by Friday.,HIGH
389,sender89@example.com,API breaking changes without notice,Latest API update broke our entire integration without any prior notice. Lost full day of work.,HIGH
390,sender90@example.com,Internet down for 5 days,Business internet down for 5 days. Lost thousands in revenue. Want compensation and a fix today.,HIGH
391,sender91@example.com,Account banned without reason,Account banned without explanation or warning. Done nothing wrong. Demand review and reinstatement.,HIGH
392,sender92@example.com,Completely wrong design delivered,Designs delivered look nothing like the brief we provided. Want full redo immediately.,HIGH
393,sender93@example.com,Discrimination complaint,Formally reporting discriminatory behavior from direct manager. Have documented evidence. Act now.,HIGH
394,sender94@example.com,Package lost for 3 weeks,Order stuck in transit for 3 weeks with no updates. Paid $150 and received nothing. Refund me.,HIGH
395,sender95@example.com,Investor pulling out last minute,Lead investor reconsidering the term sheet. Need emergency board call today.,HIGH
396,sender96@example.com,Wrong cargo loaded on flight,Customs inspection revealed wrong cargo loaded on international flight. This is a legal violation.,HIGH
397,sender97@example.com,Missing crucial project files,All files from shared drive folder disappeared. A month of work is gone. Need them restored today.,HIGH
398,sender98@example.com,Business line down for 2 days,Business phone lines down for 2 days. Missing client calls and losing business every hour.,HIGH
399,sender99@example.com,Data sync failing silently,Data sync with your platform failing for 2 weeks without alerts. Data is out of sync.,HIGH
400,sender100@example.com,Cannot cancel subscription,Tried to cancel subscription 4 times through app and website but keep getting errors. Still charged.,HIGH
401,sender101@example.com,Critical bug in production release,Version you shipped has bug corrupting user data under specific conditions. Need hotfix now.,HIGH
402,sender102@example.com,Payslip shows incorrect deductions,Payslip this month shows deductions I was not informed about. Total significantly lower than expected.,HIGH
403,sender103@example.com,Locked out of account before trip,Traveling internationally tomorrow and locked out of bank account. Need access urgently.,HIGH
404,sender104@example.com,Deprecated endpoint causing failures,You deprecated endpoint without notice and our integration broke completely. Restore old endpoint.,HIGH
405,sender105@example.com,Supplier sent completely wrong stock,Received 500 units of wrong product. Shelves empty and customers complaining. Fix today.,HIGH
406,sender106@example.com,Term sheet has major legal issue,Lawyer found clause giving investors unexpected majority control. Call needed today.,HIGH
407,sender107@example.com,Service cancellation after 5 years,After 5 years as loyal customer I am cancelling due to repeated failures and no accountability.,HIGH
408,sender108@example.com,Vendor overcharged by 300 percent,Latest invoice is 3x higher than agreed contract rate. Refuse to pay until this is corrected.,HIGH
409,sender109@example.com,Employment contract violation,Company violated terms of my employment contract regarding overtime compensation. Seeking legal advice.,HIGH
410,sender110@example.com,Data retention policy violation,GDPR request to delete my data submitted 45 days ago. Legal deadline was 30 days. This is a violation.,HIGH
411,sender111@example.com,False advertising complaint,Your product does not do what your advertising claims. This constitutes false advertising. Taking action.,HIGH
412,sender112@example.com,Hostile work environment report,Formally reporting hostile work environment created by department head. Multiple witnesses available.,HIGH
413,sender113@example.com,Unauthorized credit card charges,Found 8 unauthorized charges on my card from your platform over past 3 months. Dispute all of them.,HIGH
414,sender114@example.com,Health and safety violation,Multiple health and safety violations observed at your facility. Reporting to relevant authorities.,HIGH
415,sender115@example.com,Breach of confidentiality agreement,Your employee shared confidential project details with a competitor. This is a serious breach.,HIGH
416,sender116@example.com,Product recall notification,Safety defect discovered in batch 2024-B. Potential injury risk. Issue recall notice immediately.,HIGH
417,sender117@example.com,Whistleblower complaint,Formally reporting financial irregularities observed in Q3 accounting. Have documentation ready.,HIGH
418,sender118@example.com,Insurance claim denied unfairly,Valid insurance claim denied without proper justification. Appealing decision and consulting lawyer.,HIGH
419,sender119@example.com,Regulatory non-compliance notice,Your facility found non-compliant during inspection. Must rectify violations within 72 hours.,HIGH
420,sender120@example.com,Acquisition deal falling through,Due diligence revealed undisclosed liabilities. Board meeting needed immediately to discuss options.,HIGH
421,sender121@example.com,Major client contract dispute,Client disputing deliverables and withholding final payment of $120000. Legal team needs to review.,HIGH
422,sender122@example.com,Data breach notification required,Discovered customer data breach 72 hours ago. GDPR requires notification within this window.,HIGH
423,sender123@example.com,I want my money back now,Your product destroyed my data. I have contacted a lawyer. Refund me immediately or face consequences.,HIGH
424,sender124@example.com,Invoice 60 days overdue,This is your final notice. Pay $8000 within 48 hours or we involve collections agency.,HIGH
425,sender125@example.com,Client threatening to leave,Our biggest client called me furious about the delays. They are cancelling the contract.,HIGH
426,sender126@example.com,Billing error charged twice,I was charged twice for my subscription this month. I want an immediate refund and explanation.,HIGH
427,sender127@example.com,Wrong item delivered again,This is the second wrong order. I want a refund and am filing a complaint today.,HIGH
428,sender128@example.com,Contract renewal at risk,Contract expires in 3 days and client is not happy. If issues not resolved we lose $500k account.,HIGH
429,sender129@example.com,Employee data exposed,Internal spreadsheet with employee salaries shared publicly accidentally. HR and legal need to act.,HIGH
430,sender130@example.com,Cease and desist notice,You are hereby notified to stop using our trademarked content. Failure will result in legal action.,HIGH
431,sender131@example.com,Subscription charged but access denied,Charged $299 for annual plan but account still shows free tier. Cannot access premium features.,HIGH
432,sender132@example.com,Campaign launch failed,Marketing campaign launched with broken links and wrong images. We wasted $20000. Fix today.,HIGH
433,sender133@example.com,Audit findings require action,External audit flagged serious compliance issues. Regulators notified. Must respond within 24 hours.,HIGH
434,sender134@example.com,Harassment complaint filed,Formal harassment complaint filed against senior manager. Legal and HR must convene immediately.,HIGH
435,sender135@example.com,Account hacked need help,Someone took over my account and changed email and password. Making purchases with my card.,HIGH
436,sender136@example.com,Major shipment lost,Shipment worth $30000 gone missing in transit. Client furious and threatening to cancel all orders.,HIGH
437,sender137@example.com,Payroll processing failed,Payroll did not process correctly. 150 employees have not been paid. Fix before end of day.,HIGH
438,sender138@example.com,SLA breach notification,SLA breached for third consecutive month. Initiating penalty clauses and reviewing the partnership.,HIGH
439,sender139@example.com,You ruined my event,Your catering service cancelled last minute without notice. You ruined my wedding. I want full compensation.,HIGH
440,sender140@example.com,Still waiting after 3 weeks,Submitted support ticket 3 weeks ago and heard nothing. This level of service is shameful.,HIGH
441,sender141@example.com,Product damaged on arrival,Laptop arrived with cracked screen and dented casing. Clearly mishandled. I want replacement immediately.,HIGH
442,sender142@example.com,Project deadline missed again,Third deadline your team has missed. Our launch delayed and we are losing money. Escalate now.,HIGH
443,sender143@example.com,Unauthorized use of our brand,Discovered you are using our logo and brand name without permission. Remove it immediately.,HIGH
444,sender144@example.com,Ad campaign targeting wrong audience,Paid ad campaign running for a week targeting completely wrong demographic. Wasted $15000.,HIGH
445,sender145@example.com,Fraudulent transactions on account,Five transactions on my account I did not make totaling $1200. Reverse them and block my card.,HIGH
446,sender146@example.com,No heat in building for 4 days,Winter and no heating for 4 days. Residents include elderly people and children. Fix today.,HIGH
447,sender147@example.com,Wrongful termination notice,Received termination letter despite clean record and no prior warnings. Consulting a lawyer.,HIGH
448,sender148@example.com,Price increase notice,Due to rising costs we are increasing prices by 12% starting next month. Please be advised.,HIGH
449,sender149@example.com,Deliverable quality not acceptable,Report submitted last week does not meet agreed standards. We need revised version by Friday.,HIGH
450,sender150@example.com,API breaking changes without notice,Latest API update broke our entire integration without any prior notice. Lost full day of work.,HIGH
451,sender151@example.com,Internet down for 5 days,Business internet down for 5 days. Lost thousands in revenue. Want compensation and a fix today.,HIGH
452,sender152@example.com,Account banned without reason,Account banned without explanation or warning. Done nothing wrong. Demand review and reinstatement.,HIGH
453,sender153@example.com,Completely wrong design delivered,Designs delivered look nothing like the brief we provided. Want full redo immediately.,HIGH
454,sender154@example.com,Discrimination complaint,Formally reporting discriminatory behavior from direct manager. Have documented evidence. Act now.,HIGH
455,sender155@example.com,Package lost for 3 weeks,Order stuck in transit for 3 weeks with no updates. Paid $150 and received nothing. Refund me.,HIGH
456,sender156@example.com,Investor pulling out last minute,Lead investor reconsidering the term sheet. Need emergency board call today.,HIGH
457,sender157@example.com,Wrong cargo loaded on flight,Customs inspection revealed wrong cargo loaded on international flight. This is a legal violation.,HIGH
458,sender158@example.com,Missing crucial project files,All files from shared drive folder disappeared. A month of work is gone. Need them restored today.,HIGH
459,sender159@example.com,Business line down for 2 days,Business phone lines down for 2 days. Missing client calls and losing business every hour.,HIGH
460,sender160@example.com,Data sync failing silently,Data sync with your platform failing for 2 weeks without alerts. Data is out of sync.,HIGH
461,sender161@example.com,Cannot cancel subscription,Tried to cancel subscription 4 times through app and website but keep getting errors. Still charged.,HIGH
462,sender162@example.com,Critical bug in production release,Version you shipped has bug corrupting user data under specific conditions. Need hotfix now.,HIGH
463,sender163@example.com,Payslip shows incorrect deductions,Payslip this month shows deductions I was not informed about. Total significantly lower than expected.,HIGH
464,sender164@example.com,Locked out of account before trip,Traveling internationally tomorrow and locked out of bank account. Need access urgently.,HIGH
465,sender165@example.com,Deprecated endpoint causing failures,You deprecated endpoint without notice and our integration broke completely. Restore old endpoint.,HIGH
466,sender166@example.com,Supplier sent completely wrong stock,Received 500 units of wrong product. Shelves empty and customers complaining. Fix today.,HIGH
467,sender167@example.com,Term sheet has major legal issue,Lawyer found clause giving investors unexpected majority control. Call needed today.,HIGH
468,sender168@example.com,Service cancellation after 5 years,After 5 years as loyal customer I am cancelling due to repeated failures and no accountability.,HIGH
469,sender169@example.com,Vendor overcharged by 300 percent,Latest invoice is 3x higher than agreed contract rate. Refuse to pay until this is corrected.,HIGH
470,sender170@example.com,Employment contract violation,Company violated terms of my employment contract regarding overtime compensation. Seeking legal advice.,HIGH
471,sender171@example.com,Data retention policy violation,GDPR request to delete my data submitted 45 days ago. Legal deadline was 30 days. This is a violation.,HIGH
472,sender172@example.com,False advertising complaint,Your product does not do what your advertising claims. This constitutes false advertising. Taking action.,HIGH
473,sender173@example.com,Hostile work environment report,Formally reporting hostile work environment created by department head. Multiple witnesses available.,HIGH
474,sender174@example.com,Unauthorized credit card charges,Found 8 unauthorized charges on my card from your platform over past 3 months. Dispute all of them.,HIGH
475,sender175@example.com,Health and safety violation,Multiple health and safety violations observed at your facility. Reporting to relevant authorities.,HIGH
476,sender176@example.com,Breach of confidentiality agreement,Your employee shared confidential project details with a competitor. This is a serious breach.,HIGH
477,sender177@example.com,Product recall notification,Safety defect discovered in batch 2024-B. Potential injury risk. Issue recall notice immediately.,HIGH
478,sender178@example.com,Whistleblower complaint,Formally reporting financial irregularities observed in Q3 accounting. Have documentation ready.,HIGH
479,sender179@example.com,Insurance claim denied unfairly,Valid insurance claim denied without proper justification. Appealing decision and consulting lawyer.,HIGH
480,sender180@example.com,Regulatory non-compliance notice,Your facility found non-compliant during inspection. Must rectify violations within 72 hours.,HIGH
481,sender181@example.com,Acquisition deal falling through,Due diligence revealed undisclosed liabilities. Board meeting needed immediately to discuss options.,HIGH
482,sender182@example.com,Major client contract dispute,Client disputing deliverables and withholding final payment of $120000. Legal team needs to review.,HIGH
483,sender183@example.com,Data breach notification required,Discovered customer data breach 72 hours ago. GDPR requires notification within this window.,HIGH
484,sender184@example.com,I want my money back now,Your product destroyed my data. I have contacted a lawyer. Refund me immediately or face consequences.,HIGH
485,sender185@example.com,Invoice 60 days overdue,This is your final notice. Pay $8000 within 48 hours or we involve collections agency.,HIGH
486,sender186@example.com,Client threatening to leave,Our biggest client called me furious about the delays. They are cancelling the contract.,HIGH
487,sender187@example.com,Billing error charged twice,I was charged twice for my subscription this month. I want an immediate refund and explanation.,HIGH
488,sender188@example.com,Wrong item delivered again,This is the second wrong order. I want a refund and am filing a complaint today.,HIGH
489,sender189@example.com,Contract renewal at risk,Contract expires in 3 days and client is not happy. If issues not resolved we lose $500k account.,HIGH
490,sender190@example.com,Employee data exposed,Internal spreadsheet with employee salaries shared publicly accidentally. HR and legal need to act.,HIGH
491,sender191@example.com,Cease and desist notice,You are hereby notified to stop using our trademarked content. Failure will result in legal action.,HIGH
492,sender192@example.com,Subscription charged but access denied,Charged $299 for annual plan but account still shows free tier. Cannot access premium features.,HIGH
493,sender193@example.com,Campaign launch failed,Marketing campaign launched with broken links and wrong images. We wasted $20000. Fix today.,HIGH
494,sender194@example.com,Audit findings require action,External audit flagged serious compliance issues. Regulators notified. Must respond within 24 hours.,HIGH
495,sender195@example.com,Harassment complaint filed,Formal harassment complaint filed against senior manager. Legal and HR must convene immediately.,HIGH
496,sender196@example.com,Account hacked need help,Someone took over my account and changed email and password. Making purchases with my card.,HIGH
497,sender197@example.com,Major shipment lost,Shipment worth $30000 gone missing in transit. Client furious and threatening to cancel all orders.,HIGH
498,sender198@example.com,Payroll processing failed,Payroll did not process correctly. 150 employees have not been paid. Fix before end of day.,HIGH
499,sender199@example.com,SLA breach notification,SLA breached for third consecutive month. Initiating penalty clauses and reviewing the partnership.,HIGH
500,sender200@example.com,You ruined my event,Your catering service cancelled last minute without notice. You ruined my wedding. I want full compensation.,HIGH
501,sender201@example.com,Still waiting after 3 weeks,Submitted support ticket 3 weeks ago and heard nothing. This level of service is shameful.,HIGH
502,sender202@example.com,Product damaged on arrival,Laptop arrived with cracked screen and dented casing. Clearly mishandled. I want replacement immediately.,HIGH
503,sender203@example.com,Project deadline missed again,Third deadline your team has missed. Our launch delayed and we are losing money. Escalate now.,HIGH
504,sender204@example.com,Unauthorized use of our brand,Discovered you are using our logo and brand name without permission. Remove it immediately.,HIGH
505,sender205@example.com,Ad campaign targeting wrong audience,Paid ad campaign running for a week targeting completely wrong demographic. Wasted $15000.,HIGH
506,sender206@example.com,Fraudulent transactions on account,Five transactions on my account I did not make totaling $1200. Reverse them and block my card.,HIGH
507,sender207@example.com,No heat in building for 4 days,Winter and no heating for 4 days. Residents include elderly people and children. Fix today.,HIGH
508,sender208@example.com,Wrongful termination notice,Received termination letter despite clean record and no prior warnings. Consulting a lawyer.,HIGH
509,sender209@example.com,Price increase notice,Due to rising costs we are increasing prices by 12% starting next month. Please be advised.,HIGH
510,sender210@example.com,Deliverable quality not acceptable,Report submitted last week does not meet agreed standards. We need revised version by Friday.,HIGH
511,sender211@example.com,API breaking changes without notice,Latest API update broke our entire integration without any prior notice. Lost full day of work.,HIGH
512,sender212@example.com,Internet down for 5 days,Business internet down for 5 days. Lost thousands in revenue. Want compensation and a fix today.,HIGH
513,sender213@example.com,Account banned without reason,Account banned without explanation or warning. Done nothing wrong. Demand review and reinstatement.,HIGH
514,sender214@example.com,Completely wrong design delivered,Designs delivered look nothing like the brief we provided. Want full redo immediately.,HIGH
515,sender215@example.com,Discrimination complaint,Formally reporting discriminatory behavior from direct manager. Have documented evidence. Act now.,HIGH
516,sender216@example.com,Package lost for 3 weeks,Order stuck in transit for 3 weeks with no updates. Paid $150 and received nothing. Refund me.,HIGH
517,sender217@example.com,Investor pulling out last minute,Lead investor reconsidering the term sheet. Need emergency board call today.,HIGH
518,sender218@example.com,Wrong cargo loaded on flight,Customs inspection revealed wrong cargo loaded on international flight. This is a legal violation.,HIGH
519,sender219@example.com,Missing crucial project files,All files from shared drive folder disappeared. A month of work is gone. Need them restored today.,HIGH
520,sender220@example.com,Business line down for 2 days,Business phone lines down for 2 days. Missing client calls and losing business every hour.,HIGH
521,sender221@example.com,Data sync failing silently,Data sync with your platform failing for 2 weeks without alerts. Data is out of sync.,HIGH
522,sender222@example.com,Cannot cancel subscription,Tried to cancel subscription 4 times through app and website but keep getting errors. Still charged.,HIGH
523,sender223@example.com,Critical bug in production release,Version you shipped has bug corrupting user data under specific conditions. Need hotfix now.,HIGH
524,sender224@example.com,Payslip shows incorrect deductions,Payslip this month shows deductions I was not informed about. Total significantly lower than expected.,HIGH
525,sender225@example.com,Locked out of account before trip,Traveling internationally tomorrow and locked out of bank account. Need access urgently.,HIGH
526,sender226@example.com,Deprecated endpoint causing failures,You deprecated endpoint without notice and our integration broke completely. Restore old endpoint.,HIGH
527,sender227@example.com,Supplier sent completely wrong stock,Received 500 units of wrong product. Shelves empty and customers complaining. Fix today.,HIGH
528,sender228@example.com,Term sheet has major legal issue,Lawyer found clause giving investors unexpected majority control. Call needed today.,HIGH
529,sender229@example.com,Service cancellation after 5 years,After 5 years as loyal customer I am cancelling due to repeated failures and no accountability.,HIGH
530,sender230@example.com,Vendor overcharged by 300 percent,Latest invoice is 3x higher than agreed contract rate. Refuse to pay until this is corrected.,HIGH
531,sender231@example.com,Employment contract violation,Company violated terms of my employment contract regarding overtime compensation. Seeking legal advice.,HIGH
532,sender232@example.com,Data retention policy violation,GDPR request to delete my data submitted 45 days ago. Legal deadline was 30 days. This is a violation.,HIGH
533,sender233@example.com,False advertising complaint,Your product does not do what your advertising claims. This constitutes false advertising. Taking action.,HIGH
534,sender234@example.com,Hostile work environment report,Formally reporting hostile work environment created by department head. Multiple witnesses available.,HIGH
535,sender235@example.com,Unauthorized credit card charges,Found 8 unauthorized charges on my card from your platform over past 3 months. Dispute all of them.,HIGH
536,sender236@example.com,Health and safety violation,Multiple health and safety violations observed at your facility. Reporting to relevant authorities.,HIGH
537,sender237@example.com,Breach of confidentiality agreement,Your employee shared confidential project details with a competitor. This is a serious breach.,HIGH
538,sender238@example.com,Product recall notification,Safety defect discovered in batch 2024-B. Potential injury risk. Issue recall notice immediately.,HIGH
539,sender239@example.com,Whistleblower complaint,Formally reporting financial irregularities observed in Q3 accounting. Have documentation ready.,HIGH
540,sender240@example.com,Insurance claim denied unfairly,Valid insurance claim denied without proper justification. Appealing decision and consulting lawyer.,HIGH
541,sender241@example.com,Regulatory non-compliance notice,Your facility found non-compliant during inspection. Must rectify violations within 72 hours.,HIGH
542,sender242@example.com,Acquisition deal falling through,Due diligence revealed undisclosed liabilities. Board meeting needed immediately to discuss options.,HIGH
543,sender243@example.com,Major client contract dispute,Client disputing deliverables and withholding final payment of $120000. Legal team needs to review.,HIGH
544,sender244@example.com,Data breach notification required,Discovered customer data breach 72 hours ago. GDPR requires notification within this window.,HIGH
545,sender245@example.com,I want my money back now,Your product destroyed my data. I have contacted a lawyer. Refund me immediately or face consequences.,HIGH
546,sender246@example.com,Invoice 60 days overdue,This is your final notice. Pay $8000 within 48 hours or we involve collections agency.,HIGH
547,sender247@example.com,Client threatening to leave,Our biggest client called me furious about the delays. They are cancelling the contract.,HIGH
548,sender248@example.com,Billing error charged twice,I was charged twice for my subscription this month. I want an immediate refund and explanation.,HIGH
549,sender249@example.com,Wrong item delivered again,This is the second wrong order. I want a refund and am filing a complaint today.,HIGH
550,sender250@example.com,Contract renewal at risk,Contract expires in 3 days and client is not happy. If issues not resolved we lose $500k account.,HIGH
551,sender251@example.com,Employee data exposed,Internal spreadsheet with employee salaries shared publicly accidentally. HR and legal need to act.,HIGH
